time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2-10year
May 2016,,2.07,2.17,2.66,2.26,2.24,2.29,2.37,2.47,2.66,2.90,3.14,65
Jun 2016,2.06,2.08,2.12,2.50,2.28,2.26,2.29,2.34,2.42,2.57,2.78,3.02,52
Jul 2016,1.93,1.93,1.97,2.26,2.18,2.14,2.14,2.17,2.22,2.34,2.52,2.75,38
Aug 2016,1.78,1.77,1.80,2.20,2.03,1.98,2.00,2.03,2.09,2.22,2.42,2.66,44
Sep 2016,1.85,1.89,1.97,2.39,2.08,2.03,2.05,2.11,2.17,2.32,2.51,2.78,48
Oct 2016,1.88,1.94,2.07,2.54,2.09,2.09,2.13,2.20,2.29,2.46,2.68,2.94,59
Nov 2016,1.90,2.09,2.40,2.98,2.11,2.24,2.39,2.54,2.67,2.90,3.14,3.43,90
Dec 2016,1.91,2.23,2.62,3.33,2.15,2.38,2.60,2.79,2.97,3.23,3.49,3.79,111
Jan 2017,1.89,2.24,2.61,3.23,2.14,2.42,2.65,2.83,2.99,3.24,3.47,3.73,105
Feb 2017,1.88,2.20,2.61,3.28,2.11,2.36,2.61,2.82,3.00,3.26,3.51,3.80,115
Mar 2017,1.86,2.15,2.55,3.27,2.08,2.32,2.57,2.79,2.98,3.25,3.51,3.82,119
Apr 2017,1.83,2.10,2.41,3.04,2.06,2.29,2.50,2.69,2.84,3.09,3.34,3.62,104
May 2017,1.81,1.99,2.38,2.93,2.04,2.26,2.47,2.66,2.82,3.07,3.31,3.58,105
Jun 2017,1.80,1.95,2.46,2.76,2.02,2.21,2.39,2.56,2.70,2.93,3.17,3.42,96
Jul 2017,1.81,2.00,2.63,2.97,2.05,2.26,2.48,2.66,2.82,3.08,3.33,3.58,107
Aug 2017,1.89,2.03,2.47,2.89,2.01,2.18,2.35,2.51,2.66,2.91,3.16,3.42,99
Sep 2017,1.90,2.05,2.50,2.91,2.02,2.19,2.36,2.52,2.67,2.91,3.16,3.41,98
Oct 2017,1.89,2.06,2.52,2.97,2.02,2.19,2.37,2.55,2.70,2.96,3.23,3.47,104
Nov 2017,1.85,1.98,2.41,2.84,2.00,2.17,2.33,2.49,2.64,2.88,3.14,3.38,97
Dec 2017,1.80,1.92,2.32,2.76,1.99,2.17,2.35,2.50,2.64,2.87,3.11,3.36,94
Jan 2018,1.79,1.97,2.42,2.88,1.99,2.20,2.40,2.56,2.71,2.96,3.21,3.46,101
Feb 2018,1.77,1.88,2.41,2.96,1.99,2.17,2.37,2.56,2.72,3.00,3.27,3.51,110
Mar 2018,1.76,1.90,2.37,2.87,2.06,2.23,2.40,2.56,2.70,2.94,3.18,3.43,96
