Row Labels,Average of SVENY01,Average of SVENY02,Average of SVENY05,Average of SVENY10
<1/06/1987,,,,
(blank),,,,
2006,4.8973488,4.7797752,4.6720948,4.8346224
Jan,4.439765,4.368955,4.303955,4.474465
Feb,4.672063158,4.634173684,4.542005263,4.614642105
Mar,4.7586,4.717378261,4.659365217,4.782986957
Apr,4.894484211,4.860736842,4.835752632,5.040736842
May,4.965068182,4.933359091,4.921845455,5.156563636
Jun,5.143440909,5.080113636,4.973359091,5.138918182
Jul,5.195385,5.08096,4.954145,5.10426
Aug,5.0334,4.86393913,4.727226087,4.905504348
Sep,4.921785,4.72156,4.58041,4.763285
Oct,4.937642857,4.74967619,4.599957143,4.761733333
Nov,4.90367619,4.682438095,4.483133333,4.622090476
Dec,4.85816,4.618495,4.437255,4.59835
2007,4.486767729,4.339148207,4.366301992,4.726684462
Jan,4.988295238,4.820166667,4.656085714,4.7871
Feb,4.967321053,4.789136842,4.617510526,4.758273684
Mar,4.806831818,4.558145455,4.401718182,4.621745455
Apr,4.885695238,4.647228571,4.507433333,4.747828571
May,4.912318182,4.730745455,4.581304545,4.783627273
Jun,4.9727,4.945,4.94187619,5.139228571
Jul,4.903190476,4.783,4.802295238,5.056785714
Aug,4.4286,4.307369565,4.397182609,4.798447826
Sep,4.131021053,4.012473684,4.142689474,4.646157895
Oct,4.073881818,3.948781818,4.130054545,4.652159091
Nov,3.43075,3.333295,3.65552,4.3456
Dec,3.23216,3.091405,3.48516,4.34109
2008,1.795911156,1.943285657,2.83668765,4.053849005
Jan,2.59647619,2.430204762,3.00377619,4.0061
Feb,1.923535,1.951915,2.8473,4.06594
Mar,1.515845,1.603875,2.48687,3.86755
Apr,1.781231815,2.01319546,2.838309106,3.997109098
May,2.0680238,2.379052368,3.208057129,4.183399978
Jun,2.40483334,2.722833338,3.519814287,4.388576235
Jul,2.25125911,2.53958636,3.333086361,4.277854573
Aug,2.139638095,2.385609513,3.153919061,4.157228583
Sep,1.888423812,2.070061911,2.880595264,4.000676178
Oct,1.423772725,1.525090917,2.783372706,4.444709063
Nov,1.009466658,1.031972223,2.359766669,4.241294424
Dec,0.487845452,0.573509088,1.579777257,3.055209095
2009,0.5075216,0.929236,2.260184001,3.747510808
Jan,0.459730001,0.647855002,1.693154997,3.188225019
Feb,0.646931582,0.887521051,2.010410522,3.529426324
Mar,0.665145457,0.909886363,1.944827269,3.374100002
Apr,0.581699996,0.890038099,1.960509539,3.382961898
May,0.523824999,0.913100001,2.206130004,3.782239997
Jun,0.589459085,1.173159087,2.720463623,4.22523181
Jul,0.508636364,1.019545455,2.509272716,4.038400054
Aug,0.524676192,1.109109515,2.614547639,4.034519025
Sep,0.429628572,0.947271435,2.407928558,3.826223805
Oct,0.413404761,0.944366665,2.363852399,3.775471426
Nov,0.332563157,0.801857898,2.256642103,3.795642125
Dec,0.403181819,0.86491818,2.35737728,3.948150039
2010,0.356357769,0.688207969,1.973744625,3.475105178
Jan,0.386326315,0.925400009,2.502389469,4.066852645
Feb,0.360957896,0.847326319,2.405057895,4.02642102
Mar,0.429386959,0.945269572,2.473160878,4.02416957
Apr,0.484304546,1.043499998,2.622768218,4.100518183
May,0.424150001,0.829239997,2.246165001,3.700894952
Jun,0.382890909,0.723799998,2.060209074,3.489159107
Jul,0.337023812,0.600828571,1.811633337,3.272947607
Aug,0.30287727,0.486204546,1.501909088,2.904249993
Sep,0.296080948,0.461880954,1.46580477,2.867685727
Oct,0.249085,0.33758,1.243344998,2.74898001
Nov,0.283939999,0.42914,1.380130011,2.956334996
Dec,0.326872725,0.613818177,1.95450909,3.544518211
2011,0.216464001,0.4408828,1.529412401,2.967290402
Jan,0.301104999,0.59998,2.001730013,3.631815016
Feb,0.332978948,0.76144737,2.267668423,3.797794744
Mar,0.291539133,0.678060869,2.125291311,3.639621735
Apr,0.285395002,0.711594993,2.187155002,3.685235012
May,0.213971429,0.529504767,1.840690465,3.387476206
Jun,0.206800001,0.412904547,1.576704546,3.217159076
