Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2019-06-30,1.9339,1.7629,1.7164,1.73,1.7702,1.8204,1.8727,1.9237,1.9725,2.0187,2.0627,2.1049,2.1456,2.1851,2.2236,2.2612,2.298,2.3341,2.3694,2.404,2.4378,2.4708,2.503,2.5343,2.5649,2.5945,2.6233,2.6512,2.6783,2.7045
2019-05-31,2.1836,1.9556,1.894,1.9052,1.9447,1.9921,2.0391,2.0827,2.1227,2.1594,2.1937,2.2263,2.2576,2.2881,2.3182,2.3478,2.3772,2.4064,2.4353,2.4639,2.4923,2.5203,2.5479,2.5751,2.6018,2.6279,2.6536,2.6786,2.7031,2.727
2019-04-30,2.3552,2.2562,2.232,2.2493,2.2878,2.3355,2.3856,2.4343,2.4801,2.5223,2.561,2.5964,2.6293,2.6599,2.689,2.7168,2.7437,2.7701,2.7961,2.822,2.8479,2.8738,2.8998,2.926,2.9524,2.9789,3.0056,3.0324,3.0593,3.0863
2019-03-31,2.3719,2.2679,2.226,2.2219,2.2398,2.2695,2.3048,2.3419,2.3788,2.4143,2.448,2.4798,2.5099,2.5385,2.5659,2.5924,2.6182,2.6437,2.6688,2.6939,2.7191,2.7443,2.7697,2.7953,2.8212,2.8473,2.8736,2.9002,2.9269,2.9538
2019-02-28,2.53,2.5049,2.5041,2.5197,2.5459,2.5785,2.6147,2.6524,2.6902,2.7271,2.7627,2.7967,2.8289,2.8594,2.8882,2.9154,2.9413,2.966,2.9897,3.0125,3.0346,3.0561,3.0772,3.0979,3.1185,3.1388,3.1591,3.1794,3.1997,3.22
2019-01-31,2.5096,2.4451,2.4203,2.4219,2.4409,2.4703,2.5057,2.5439,2.5826,2.6206,2.6571,2.6916,2.724,2.7544,2.7829,2.8098,2.8351,2.8593,2.8826,2.9052,2.9272,2.949,2.9707,2.9924,3.0143,3.0364,3.0588,3.0817,3.105,3.1287
2018-12-31,2.5743,2.4859,2.4624,2.4752,2.5065,2.5459,2.5873,2.6275,2.6649,2.6991,2.7301,2.7583,2.784,2.8078,2.8301,2.8514,2.8719,2.892,2.9119,2.9318,2.9517,2.9719,2.9923,3.0129,3.0339,3.0551,3.0767,3.0985,3.1205,3.1428
2018-11-30,2.7022,2.7935,2.8218,2.8347,2.8502,2.8729,2.9022,2.9358,2.9714,3.0071,3.0416,3.0742,3.1044,3.1321,3.1574,3.1803,3.2011,3.22,3.2371,3.2526,3.2668,3.2798,3.2917,3.3026,3.3126,3.3219,3.3305,3.3385,3.346,3.3529
2018-10-31,2.6941,2.8607,2.9158,2.9502,2.9833,3.0178,3.0532,3.0881,3.1216,3.153,3.1822,3.2089,3.2333,3.2554,3.2755,3.2936,3.31,3.3249,3.3385,3.3508,3.3621,3.3724,3.3819,3.3906,3.3986,3.4061,3.413,3.4194,3.4254,3.4309
2018-09-30,2.6207,2.801,2.8666,2.904,2.9334,2.9597,2.9841,3.0067,3.0274,3.0463,3.0633,3.0787,3.0926,3.105,3.1162,3.1262,3.1353,3.1435,3.1509,3.1576,3.1637,3.1693,3.1745,3.1792,3.1835,3.1875,3.1913,3.1947,3.198,3.201
2018-08-31,2.4548,2.6198,2.6817,2.7161,2.7431,2.7678,2.7914,2.8141,2.8355,2.8556,2.8741,2.8912,2.9068,2.921,2.9339,2.9457,2.9564,2.9661,2.975,2.9831,2.9905,2.9973,3.0035,3.0093,3.0146,3.0195,3.0241,3.0283,3.0323,3.036
2018-07-31,2.4398,2.6634,2.7537,2.8014,2.8357,2.865,2.8914,2.915,2.936,2.9544,2.9705,2.9845,2.9968,3.0074,3.0168,3.0251,3.0325,3.039,3.0449,3.0502,3.055,3.0594,3.0634,3.0671,3.0704,3.0735,3.0764,3.0791,3.0816,3.0839
2018-06-30,2.3344,2.5207,2.6134,2.6798,2.7312,2.7714,2.8031,2.8283,2.8486,2.8651,2.8788,2.8903,2.9,2.9084,2.9156,2.9219,2.9275,2.9325,2.937,2.941,2.9446,2.9479,2.9509,2.9537,2.9562,2.9586,2.9607,2.9627,2.9646,2.9664
2018-05-31,2.2432,2.4134,2.5348,2.6219,2.6851,2.7315,2.7662,2.7927,2.8136,2.8305,2.8448,2.8573,2.8687,2.8793,2.8895,2.8995,2.9093,2.9192,2.9291,2.939,2.949,2.959,2.9691,2.9793,2.9894,2.9995,3.0097,3.0197,3.0297,3.0396
2018-04-30,2.2545,2.4854,2.6337,2.7312,2.7972,2.8434,2.8771,2.9027,2.923,2.9399,2.9545,2.9677,2.9798,2.9911,3.002,3.0125,3.0226,3.0325,3.0422,3.0517,3.0609,3.07,3.0788,3.0875,3.0959,3.1041,3.1121,3.1199,3.1274,3.1348
2018-03-31,2.102,2.2717,2.3985,2.4934,2.5649,2.6192,2.661,2.6938,2.7201,2.7419,2.7606,2.7772,2.7926,2.8071,2.8213,2.8353,2.8494,2.8637,2.8782,2.893,2.9081,2.9235,2.9391,2.955,2.971,2.9872,3.0034,3.0198,3.0362,3.0525
2018-02-28,2.0493,2.2631,2.4284,2.5559,2.6541,2.7297,2.7881,2.8336,2.8694,2.898,2.9214,2.9411,2.9582,2.9737,2.9882,3.0021,3.0158,3.0296,3.0436,3.0579,3.0727,3.0879,3.1036,3.1197,3.1363,3.1533,3.1706,3.1883,3.2062,3.2244
2018-01-31,1.9119,2.1441,2.3127,2.4354,2.525,2.5909,2.6398,2.6766,2.705,2.7275,2.746,2.7618,2.776,2.7893,2.8021,2.8147,2.8275,2.8405,2.8538,2.8675,2.8816,2.896,2.9108,2.9259,2.9413,2.9569,2.9728,2.9887,3.0048,3.021
2017-12-31,1.7573,1.8852,2.0033,2.1056,2.1912,2.2613,2.318,2.3638,2.4012,2.432,2.4582,2.4811,2.5019,2.5213,2.5402,2.5588,2.5777,2.5969,2.6167,2.6371,2.6583,2.68,2.7025,2.7255,2.7491,2.7732,2.7978,2.8227,2.8479,2.8733
2017-11-30,1.6313,1.7902,1.9286,2.0468,2.1465,2.23,2.3,2.3589,2.4088,2.4518,2.4894,2.5228,2.5533,2.5815,2.6083,2.6339,2.6589,2.6836,2.708,2.7324,2.7569,2.7815,2.8062,2.831,2.856,2.8811,2.9064,2.9316,2.9569,2.9822
2017-10-31,1.4416,1.5965,1.7537,1.897,2.0211,2.1259,2.2133,2.2864,2.3481,2.4009,2.4472,2.4885,2.5264,2.5618,2.5955,2.6281,2.6599,2.6913,2.7224,2.7533,2.7841,2.8147,2.8453,2.8758,2.9062,2.9364,2.9663,2.9961,3.0255,3.0546
2017-09-30,1.3341,1.481,1.6455,1.8015,1.939,2.0561,2.1541,2.236,2.305,2.3638,2.415,2.4605,2.5018,2.54,2.5762,2.6108,2.6444,2.6773,2.7097,2.7417,2.7734,2.8049,2.8362,2.8672,2.8981,2.9286,2.9589,2.9888,3.0184,3.0477
2017-08-31,1.2322,1.3228,1.4565,1.5962,1.7259,1.8401,1.9385,2.0228,2.0955,2.159,2.2155,2.2666,2.3137,2.3578,2.3997,2.4399,2.4788,2.5168,2.5539,2.5903,2.6261,2.6613,2.6959,2.7299,2.7633,2.7962,2.8284,2.8599,2.8909,2.9211
